,start,stop,name
0,0.0,0.8317500000000001,1
1,0.8317500000000001,1.450375,0
2,1.450375,2.3120625,2
3,2.3120625,2.6575625,0
4,2.6575625,4.6265625,2
5,4.6265625,4.9915,1
6,4.9915,6.22609964324748,0
7,6.22609964324748,8.248249999999999,2
8,8.248249999999999,8.8433125,0
9,8.8433125,9.253375,1
10,9.253375,18.8721875,0
11,18.8721875,20.950375,1
12,20.950375,22.5420625,0
13,22.5420625,24.825875,2
14,24.825875,32.2535625,0
15,32.2535625,32.7166875,1
16,32.7166875,33.948,0
17,33.948,34.5423125,1
18,34.5423125,35.573625,0
19,35.573625,36.126125,2
20,36.126125,37.01025,1
21,37.01025,38.1376875,2
22,38.1376875,39.5343125,0
23,39.5343125,40.9455625,2
24,40.9455625,41.6269375,1
25,41.6269375,43.2431875,0
26,43.2431875,44.763875,3
27,44.763875,47.01047724389683,0
28,47.01047724389683,48.5798125,2
29,48.5798125,49.756125,0
30,49.756125,51.129174787872245,3
31,51.129174787872245,52.874875,2
32,52.874875,53.200562500000004,0
33,53.200562500000004,53.671875,3
34,53.671875,54.72575,2
35,54.72575,55.0370625,0
36,55.0370625,56.58125,2
37,56.58125,57.3138125,3
38,57.3138125,58.8473125,0
39,58.8473125,62.03759958138699,3
40,62.03759958138699,63.81125,2
41,63.81125,64.4963125,1
42,64.4963125,65.45937500000001,0
43,65.45937500000001,66.7185,2
44,66.7185,67.84775,0
45,67.84775,68.2455,1
46,68.2455,68.94468750000001,2
47,68.94468750000001,69.286375,0
48,69.286375,69.678375,1
49,69.678375,70.2799375,0
50,70.2799375,70.69175000000001,2
51,70.69175000000001,71.2461875,0
52,71.2461875,72.38650000000001,1
53,72.38650000000001,72.66475000000001,0
54,72.66475000000001,73.02068750000001,2
55,73.02068750000001,74.3291875,1
56,74.3291875,75.18581250000001,0
57,75.18581250000001,78.9979375,2
58,78.9979375,79.45031250000001,0
59,79.45031250000001,79.8496875,1
60,79.8496875,80.6325625,2
61,80.6325625,81.01687500000001,0
62,81.01687500000001,81.41606250000001,1
63,81.41606250000001,82.43178359826283,0
64,82.43178359826283,84.002125,2
65,84.002125,85.14206250000001,0
66,85.14206250000001,85.69556250000001,1
67,85.69556250000001,86.27287500000001,2
68,86.27287500000001,87.49156250000001,0
69,87.49156250000001,87.83368750000001,1
70,87.83368750000001,91.48012500000002,0
71,91.48012500000002,92.1560625,1
72,92.1560625,92.52168750000001,0
73,92.52168750000001,93.5106875,1
74,93.5106875,98.4319375,0
75,98.4319375,99.6451875,2
76,99.6451875,100.84156250000001,0
77,100.84156250000001,101.25375000000001,1
78,101.25375000000001,102.89918750000001,2
79,102.89918750000001,109.89269105282182,0
80,109.89269105282182,111.0119375,1
81,111.0119375,121.76075000000002,0
82,121.76075000000002,123.59800000000001,2
83,123.59800000000001,128.46975,0
84,128.46975,129.4726875,1
85,129.4726875,130.74493750000002,0
86,130.74493750000002,131.606875,2
87,131.606875,140.3359266132167,0
88,140.3359266132167,141.15718750000002,2
89,141.15718750000002,142.86720947878493,0
90,142.86720947878493,143.25718750000001,1
91,143.25718750000001,152.8921875,0
92,152.8921875,154.47287500000002,1
93,154.47287500000002,154.897875,0
94,154.897875,156.7939375,2
95,156.7939375,158.06356250000002,0
96,158.06356250000002,158.502125,2
97,158.502125,159.0266875,0
98,159.0266875,159.68175000000002,1
99,159.68175000000002,166.22252182104864,0
100,166.22252182104864,168.0173125,2
101,168.0173125,174.54275,0
102,174.54275,175.965,1
103,175.965,177.2486183600401,0
104,177.2486183600401,178.82250000000002,2
105,178.82250000000002,180.0,0
