,start,stop,name
0,0,2.194625,1
1,2.194625,2.833625,0
2,2.833625,3.4449375,2
3,3.4449375,6.333125,1
4,6.333125,6.7143125,0
5,6.7143125,6.9985625,2
6,6.9985625,7.9286875,1
7,7.9286875,8.5940625,2
8,8.5940625,9.2185,0
9,9.2185,10.349,2
10,10.349,12.7635,1
11,12.7635,13.2786875,2
12,13.2786875,15.931375,1
13,15.931375,16.56075,0
14,16.56075,18.3980625,2
15,18.3980625,19.6789375,1
16,19.6789375,20.44825,2
17,20.44825,21.1408125,0
18,21.1408125,22.87475,2
19,22.87475,23.4048125,1
20,23.4048125,23.828375,0
21,23.828375,26.5466875,1
22,26.5466875,27.55975,0
23,27.55975,28.4535625,2
24,28.4535625,29.063375,0
25,29.063375,29.885625,1
26,29.885625,31.613125,2
27,31.613125,32.5879375,1
28,32.5879375,32.9923125,0
29,32.9923125,33.6514375,2
30,33.6514375,36.2579375,3
31,36.2579375,36.698375,0
32,36.698375,37.570375,2
33,37.570375,43.04381161,1
34,43.04381161,43.913125,0
35,43.913125,45.364,1
36,45.364,45.935,3
37,45.935,46.3965,0
38,46.3965,47.3530625,1
39,47.3530625,47.8276875,0
40,47.8276875,51.0108125,1
41,51.0108125,51.7603125,0
42,51.7603125,52.1674375,1
43,52.1674375,52.732625,0
44,52.732625,54.7834375,1
45,54.7834375,55.602375,0
46,55.602375,57.482625,3
47,57.482625,58.592625,1
48,58.592625,59.6638125,0
49,59.6638125,60.614375,1
50,60.614375,61.734625,0
51,61.734625,63.1491875,1
52,63.1491875,63.566875,0
53,63.566875,63.8911875,1
54,63.8911875,64.7108125,0
55,64.7108125,66.9394375,1
56,66.9394375,68.5128125,0
57,68.5128125,69.8185625,3
58,69.8185625,70.90275,0
59,70.90275,73.22325,1
60,73.22325,73.7854375,0
61,73.7854375,74.45925,3
62,74.45925,78.09166758,0
63,78.09166758,78.74,1
64,78.74,80.25475,4
65,80.25475,81.04225,1
66,81.04225,82.2109375,4
67,82.2109375,84.094625,2
68,84.094625,84.634375,0
69,84.634375,85.3213125,2
70,85.3213125,87.3965,0
71,87.3965,88.2049375,3
72,88.2049375,88.7980625,1
73,88.7980625,89.9070625,0
74,89.9070625,91.6350625,2
75,91.6350625,92.67775,3
76,92.67775,93.151875,2
77,93.151875,93.6444375,1
78,93.6444375,94.584625,2
79,94.584625,97.272375,3
80,97.272375,97.721,0
81,97.721,98.159125,1
82,98.159125,98.880125,0
83,98.880125,101.9918125,3
84,101.9918125,104.588369,0
85,104.588369,105.8680625,1
86,105.8680625,106.338125,0
87,106.338125,107.10975,3
88,107.10975,108.3103125,2
89,108.3103125,109.903875,0
90,109.903875,110.9728125,3
91,110.9728125,113.211892,0
92,113.211892,114.706375,3
93,114.706375,119.1019375,1
94,119.1019375,121.9641243,3
95,121.9641243,123.1914375,1
96,123.1914375,125.788125,3
97,125.788125,126.840625,2
98,126.840625,129.0290625,3
99,129.0290625,129.648625,0
100,129.648625,130.98825,1
101,130.98825,135.174375,3
102,135.174375,135.526875,0
103,135.526875,136.238125,3
104,136.238125,138.604625,1
105,138.604625,141.65775,3
106,141.65775,150,0
